auction_id_placeholder,auction_guid,product_guid_fk,stream_guid_fk,starting_price,reserve_price,start_time,duration_seconds,end_time,status,winner_user_guid_fk,bid_count,current_price
1,auc-5b63a014,prod-1a28bbb8,strm-9fee8eac,32.26955291686418,127.83591088313607,2023-07-10,5119,2023-10-03,sold,usr-5c54b24b,0,32.26955291686418
1,auc-97cf2546,prod-3fe0fe12,strm-8b6664ee,35.86503678807823,45.35622052075429,2023-07-09,1443,2023-09-02,pending,usr-ccb9350b,4,35.86503678807823
1,auc-cbd57b42,prod-01aa629c,strm-bd7aab40,101.51871870986545,208.92576765035247,2023-11-14,5537,2024-01-11,sold,usr-8698bec3,2,101.51871870986545
1,auc-0d3f9dce,prod-83af2b3c,strm-1a0e9ac5,12.9204789202733,58.6702924945689,2023-05-27,1391,2023-07-14,active,usr-83cd1f50,5,12.9204789202733
1,auc-b103c0b4,prod-cb15e366,strm-eae79e1d,128.74709038244845,407.7708271267703,2023-07-13,1040,2023-09-04,active,usr-ef8f4538,0,128.74709038244845
1,auc-cb2c5d3e,prod-e4ad7ee5,strm-27832e31,168.6554889177614,288.1697594761921,2023-09-01,4178,2024-01-10,active,usr-8a1ebbc9,2,168.6554889177614
1,auc-3bd64fb4,prod-be37517c,strm-11820554,74.41876351122583,166.69189346195427,2023-11-23,4837,2023-12-05,pending,usr-63bd7d24,0,74.41876351122583
1,auc-4e87c2e0,prod-16ade608,strm-f0433220,122.83618416480712,312.7410608449454,2023-08-22,1323,2024-01-09,active,usr-ec79c293,3,122.83618416480712
1,auc-331912c9,prod-2fe3d8e7,strm-35779b22,154.7934751877384,454.80589568186576,2023-05-12,1835,2023-08-09,active,usr-fc7ae566,4,154.7934751877384
1,auc-db357f17,prod-7f07fcb8,strm-809a7c2b,75.1451361054379,224.2347035894485,2023-04-07,6070,2023-08-21,active,usr-2172bea2,1,75.1451361054379
1,auc-1c0a625f,prod-6305d52c,strm-a2b32fb9,170.79224490085156,396.18691397959327,2023-11-23,1886,2024-01-07,cancelled,usr-bb5c648c,3,170.79224490085156
1,auc-0ac81ed0,prod-0bdee8cf,strm-8e2de966,171.8357346478621,416.2641718207249,2023-09-18,3524,2023-12-17,sold,usr-b4cbcbcc,0,171.8357346478621
1,auc-c39ebc7a,prod-98617f72,strm-47fa03e2,117.19043930179707,462.91823073923524,2023-12-09,4023,2023-12-20,pending,usr-effdbab4,3,117.19043930179707
1,auc-a76d248e,prod-953522c5,strm-211af4cb,44.880858356865666,347.98696393557213,2023-08-29,5750,2023-12-22,active,usr-5d9e1a61,3,44.880858356865666
1,auc-015827c7,prod-5d66a87b,strm-89620423,162.626326553734,236.59200935446944,2023-07-12,4751,2023-09-12,pending,usr-00813da2,1,162.626326553734
1,auc-5b1822d3,prod-c8d33000,strm-de78fcd5,66.71217679284935,78.51481621017409,2023-10-13,4691,2023-10-17,pending,usr-0ad9ff9a,1,66.71217679284935
1,auc-23d827f5,prod-43d33fcb,strm-1115a286,160.8377464409552,438.5852572220335,2023-11-14,720,2023-11-20,active,usr-382112b4,0,160.8377464409552
1,auc-18bc7177,prod-f518b6ec,strm-3d55924c,132.07155678740608,260.1505110370762,2023-10-15,2433,2024-01-06,pending,usr-77f1c9d7,2,132.07155678740608
1,auc-d18970af,prod-13e64de5,strm-eae79e1d,60.898611333199966,409.08461060357695,2023-03-31,456,2023-11-02,sold,usr-444d9fe6,3,60.898611333199966
1,auc-06c97ae9,prod-f0ba615e,strm-7d115cbd,126.07921062558255,182.31241919424676,2023-12-07,743,2024-01-08,active,usr-e23b4e7d,0,126.07921062558255
1,auc-4484aabe,prod-4267c187,strm-5a771350,168.17207662831046,206.15506785101266,2023-12-19,5156,2023-12-30,unsold,usr-0b3665ec,0,168.17207662831046
1,auc-b3f94fc4,prod-439910a5,strm-59f1ad6d,65.0022324920522,184.09254029001926,2023-08-22,5645,2023-12-28,pending,usr-939cea05,2,65.0022324920522
1,auc-08ae8723,prod-e8783aad,strm-309af8e5,148.4693873338868,334.4852857306339,2023-10-15,6006,2023-11-25,pending,usr-2406467a,1,148.4693873338868
1,auc-cf305098,prod-31ad14a8,strm-408257ea,61.53954340338467,483.9801906191736,2023-09-07,2180,2023-09-27,sold,usr-a9449936,4,61.53954340338467
1,auc-11bd3321,prod-ec11ba36,strm-37ad1f5b,69.43023787325083,408.0922092176466,2023-06-21,392,2023-12-10,sold,usr-dcbc1ac7,1,69.43023787325083
1,auc-db482ff9,prod-f4523a88,strm-166ad6c7,7.283863074673417,471.94078422143343,2023-10-16,6509,2024-01-06,cancelled,usr-8305d36e,2,7.283863074673417
1,auc-2ddf2c7f,prod-608e1f26,strm-dcedf572,191.25115667393783,248.58443074678107,2023-05-01,3184,2023-06-02,sold,usr-eb148047,3,191.25115667393783
1,auc-4d83d21c,prod-c4fb4174,strm-5de1dc6b,177.87258587756045,289.6402144597884,2023-11-08,3223,2023-12-05,pending,usr-c290715c,3,177.87258587756045
1,auc-357e5b73,prod-83af2b3c,strm-152d5ad5,14.163835356964908,133.56919233116116,2023-12-25,3601,2024-01-04,cancelled,usr-bea395f0,4,14.163835356964908
